Node,Graph,Closeness,Clustering,Degree
1,1,1.7999345692598665,0.5566470831727437,65.23985198140144
1,2,1.8170412815239172,0.574312560612214,67.5735354973692
1,3,2.1009670161401104,0.5283933297362682,62.645165691460946
1,4,2.0273098563543446,0.5312437572771991,62.58072646243144
1,5,1.841625843603104,0.5537723633756187,65.45730241750817
2,1,1.8906446234922698,0.5409950657900703,62.882144063711166
2,2,1.8216355762946537,0.5729954076652178,67.3670266898622
2,3,2.060299899590106,0.5291442488547998,62.52773843279186
2,4,2.061206118225285,0.5340738782191499,63.35611688251389
2,5,1.8958930151975455,0.5420629360347529,63.36957584008865
3,1,1.869831658946228,0.5621821136127622,66.5288006067276
3,2,1.788636577267145,0.5762590748799568,67.75553880354688
3,3,1.922668472971807,0.5373324188806851,63.15071315437558
3,4,1.8207735946302168,0.5461233700821337,63.97117309649615
3,5,1.8137869550622976,0.557993992480396,66.18117783228342
4,1,1.8154205023602452,0.5482629557270331,63.55491918325424
4,2,1.8775778966482044,0.5593006905525483,64.91496520377123
4,3,1.9363299337256936,0.5327241646431861,62.33175113559026
4,4,1.856329546655206,0.5415629910308603,63.330509131037125
4,5,1.86003327294911,0.5457259570545562,63.99828614143905
5,1,1.8641834596547375,0.5610193603999293,66.48367422819138
5,2,1.791577698256776,0.5608517818104228,64.38772492251215
5,3,1.8062197758720202,0.5458090537791855,63.85035682915326
5,4,1.8395738879248449,0.5440739334097685,63.82265657269257
5,5,1.921579048601383,0.5286660838056898,60.879305686216206
6,1,1.839591940625073,0.5695184578128328,67.84066778421402
6,2,1.7351097821699955,0.5737545524638266,66.76347991775788
6,3,1.8150562640448609,0.5441399021349143,63.70400384397675
6,4,1.8702656434433014,0.5381037086149881,62.74744219095294
6,5,1.9267115454810364,0.5289843235068306,61.09454725586624
7,1,1.8351732054835632,0.5675676360897098,67.38788387179375
7,2,1.7691084391100473,0.5800180256792657,68.31512059449669
7,3,1.9821787233740702,0.5337333558294767,62.84902571514909
7,4,1.8826853862656328,0.538027381283297,62.94429980053167
7,5,1.8481719886893007,0.5508167496969152,64.95458914724735
8,1,1.903804231054036,0.5329499239593077,61.28833070397377
8,2,1.778026247575585,0.574108042265514,67.18189075870944
8,3,1.946604234241146,0.5323176291642078,62.4329473117156
8,4,1.8983045817742539,0.5337171029857741,62.204360114201954
8,5,1.8558496903833843,0.5483136646653354,64.52152521278808
9,1,1.8595467589856753,0.5660331707897871,67.2560444176197
9,2,1.7347500559317284,0.5748198082177465,66.71321929958081
9,3,1.7748777956440356,0.5531703044462373,65.30858895801401
9,4,1.8833860475075437,0.5305396931361676,61.06490828264998
9,5,1.86983185589488,0.5359244507034692,61.75944533005256
10,1,1.8891382311464122,0.5696060291857564,67.78172607719898
10,2,1.7720163603820047,0.5703858370385291,66.28618723772188
10,3,1.7817736554975423,0.5524469795465515,65.24927848394945
10,4,1.8564348064960383,0.5370173166544426,62.35015518512225
10,5,1.8327758171291864,0.5446959876747951,63.46455516605678
11,1,1.7900961904562969,0.5643597646140657,66.38261014223099
11,2,1.696244148160903,0.5817419934853433,67.93008245317263
11,3,1.92139898607663,0.5436708852989902,64.33851364644183
11,4,1.851635626762294,0.5389594124886405,62.732303937016894
11,5,1.8718952263920239,0.5479977611361345,64.51728295364587
12,1,1.849287305725883,0.5497978514820855,64.11569318175316
12,2,1.7337853184233416,0.578897848923703,67.74492203246821
12,3,2.017236405429836,0.5268438532337981,61.53429796050107
12,4,1.928052560820922,0.532566034872866,62.19315719145862
12,5,1.838182705269033,0.5563137263283306,66.00439466698637
13,1,1.8664849845986378,0.5670666438052172,67.4046579003334
13,2,1.684754556724112,0.5839245693547838,68.41421105617049
13,3,1.9348670176965723,0.5432194330661784,64.2538338296026
13,4,1.8355408026326772,0.5401915778461821,62.924966662932704
13,5,1.8457953665067015,0.549014616758576,64.46246516219263
14,1,1.876377943284468,0.5465542283808487,63.699083030223846
14,2,1.7109706166368692,0.5789601138651387,67.48944641968211
14,3,1.9714010459832492,0.5333049939526404,62.48672671442369
14,4,1.850954401742152,0.5384092251416539,62.7065304362527
14,5,1.828271075334421,0.5547080444904083,65.5467277361134
15,1,1.8453563582958081,0.5547799681790134,65.15941923856735
15,2,1.661654905862096,0.5892241723649002,69.20811270396484
15,3,1.7452203537617832,0.5595717786011283,66.49410132757639
15,4,1.8497591898421577,0.5371984257753534,62.27765092649781
15,5,1.756519068604624,0.55952718387569,65.72771615036196
16,1,1.860218256219906,0.5637305463358817,66.73898711800575
16,2,1.643473691878689,0.5954855817912769,70.44045929052912
16,3,1.762560838556822,0.5545723865911225,65.76613810338955
16,4,1.8225509757683505,0.5426256073115163,63.152638319526986
16,5,1.8440921017219405,0.5437822732109638,63.52576228190183
17,1,1.7788575002233098,0.5596078776082714,65.68268984556198
17,2,1.6944483606078018,0.582661427793216,68.26500983387136
17,3,1.8700571936169887,0.5441752650249215,64.19305574972473
17,4,1.9114755884192525,0.5411656136665465,63.71693005622365
17,5,1.8093311675778527,0.559663220794782,66.4156130046005
18,1,1.8305784863725687,0.5508979648735731,64.3228243291378
18,2,1.7477192020811034,0.5698795327361265,66.16982642647808
18,3,1.9813289689301388,0.5352257432686872,62.90978496558312
18,4,1.897271767215322,0.544765103829368,64.25758946956316
18,5,1.8194556465543346,0.5541093783610749,65.20698064603484
19,1,1.8210077774890159,0.5531265923434676,64.75439247488976
19,2,1.8807591939038435,0.5544750226244988,63.76217515671729
19,3,1.9888331389205438,0.5261215083981486,61.228628668299265
19,4,1.9374839723897663,0.5303606202666216,61.53497972557395
19,5,1.9697381910829097,0.5246208340752976,60.42949681107101
20,1,1.8102984861399938,0.5563309703262329,65.40220168232918
20,2,1.8713193826346186,0.5621387914359073,65.39875966558147
20,3,2.021543594268031,0.5259435186336532,61.42183421304151
20,4,1.949882213196863,0.5326167879077996,62.42541720787545
20,5,1.9229088993588896,0.5338442928901121,61.9646788724148
21,1,1.819811264858374,0.5486496755730981,63.56017154455185
21,2,1.7827248782499927,0.5621473411582599,64.58069313134904
21,3,1.812142972776103,0.5444264579496519,63.493550261885005
21,4,1.910602222792622,0.5391104689085819,63.408002391130175
21,5,1.9259003692856271,0.5248693637423533,60.002732338671365
22,1,1.8062748852842028,0.5564933777578734,65.21341550350189
22,2,1.7204977608078202,0.5761700981153483,67.03532434060804
22,3,1.8448628337939685,0.5391329695194712,63.05512545925159
22,4,1.87821207522288,0.541566489665821,63.544398513730066
22,5,1.9644285220994036,0.5214626945247108,59.79963873698914
23,1,1.8686112936373147,0.5563502730734411,65.46479958295822
23,2,1.8434842975657748,0.5604277706198414,64.7603909255308
23,3,1.9036154853474125,0.532398649251371,62.010151991144134
23,4,1.875973695430471,0.534968584429303,62.24112799323471
23,5,1.773702810515844,0.557768921521216,65.60621744994117
24,1,1.8953565122666225,0.5610508926027705,66.3144533187151
24,2,1.7045642541776471,0.5924173899134899,70.34458845847783
24,3,1.8119954575455803,0.546984898202276,64.33527882971786
24,4,1.8616788853296966,0.5399664397915234,63.197698483001346
24,5,1.788912230804943,0.5536202320556218,64.82893807335097
25,1,1.9103868106261046,0.5712826173172253,68.30581685900688
25,2,1.7284028649061014,0.5774622597253783,67.35348166809923
25,3,1.7469651611255386,0.5580624866993164,65.97947863419715
25,4,1.8127985715349726,0.5496939167680016,64.85243733514841
25,5,1.8093242685174005,0.5484190222945382,63.63667867557661
26,1,1.8725004844104747,0.570266739854737,67.97885484993458
26,2,1.716953676391587,0.5795326027793245,67.65292291098618
26,3,1.7566282456231217,0.5566868242769968,65.71721340831358
26,4,1.818892775165464,0.5496918719541035,64.86855310192944
26,5,1.781888511316132,0.5532738162397571,64.61369970950332
27,1,1.863527526866328,0.5497046985180679,64.38165929913521
27,2,1.8432763381259343,0.549931378366607,62.613246462247524
27,3,1.9044495655429707,0.5342747807910635,62.73398802516129
27,4,1.8500028524407408,0.5424065504053823,63.67697292458932
27,5,2.0116390560212345,0.5145768678812289,58.96528175193107
28,1,1.8272551797758085,0.5638943168607218,66.45961326360703
28,2,1.8544684521430015,0.5477815685144305,62.2524043991619
28,3,1.8913046210878566,0.535043269229763,62.747320620243315
28,4,1.864941067379828,0.5388462271158979,62.866252807877075
28,5,2.0124100784843337,0.5135469304896157,58.61595852042741
29,1,1.8088414011777094,0.5533879642215679,64.58388474583626
29,2,1.5996192706579047,0.60483300338891,71.93314693389499
29,3,1.8117521156010208,0.5516901822972463,65.50607451191281
29,4,1.8631446631967272,0.5405247408196033,63.57309385899293
29,5,1.7923306469221938,0.558854009534612,66.07800608391807
30,1,1.8163293254586732,0.5605759130173351,66.15880832076073
30,2,1.620196717167298,0.5998556081692868,71.10377642989437
30,3,1.8234789720482147,0.553411201628438,65.83678352875063
30,4,1.8466039659251823,0.5416592503917889,63.57197832709039
30,5,1.7805847699495123,0.559235930546489,66.09370581801045
31,1,1.8904269263347737,0.5636984930875228,66.87101377546787
31,2,1.6940297981466412,0.5849494919847629,68.57002777648336
31,3,1.7977265274721892,0.5485507589126304,64.45731021801953
31,4,1.8119101537739648,0.5450236429234409,63.574105854207225
31,5,1.8398792925899685,0.547707240250337,64.03375517780457
32,1,1.8505796966342518,0.5547273572966647,65.16960173845291
32,2,1.6560010583617688,0.5956588499106626,70.50845611168586
32,3,1.803127601582278,0.5462974006246025,63.9975540591185
32,4,1.817130890353818,0.544795887618614,63.6032849272405
32,5,1.8415087725270323,0.545097551694316,63.50068011387174
33,1,1.8807777935286685,0.5410002714664663,62.60233223438263
33,2,1.732993181017591,0.591169247146763,70.31141573864002
33,3,2.024366030262581,0.5329042551997584,62.90988252822838
33,4,1.948264169427218,0.5374262111934973,63.162129791150974
33,5,1.8293218501718023,0.5581529224704088,66.21785281694787
34,1,1.8679077704560172,0.5401623340659165,62.279372960329056
34,2,1.6879506426876507,0.5983088597391766,71.46096278520045
34,3,1.9949414539625172,0.5340608062035543,63.07516673296862
34,4,1.8884527272062654,0.5401645343389904,63.42361976988754
34,5,1.8727995454032542,0.553384856696788,65.60928162141782
35,1,1.9089598227672075,0.5378506177814687,62.24969619512558
35,2,1.6863493657450142,0.5840201936106999,68.37408892122856
35,3,1.8184974732307642,0.5520497055987761,65.51634314139933
35,4,1.8411602053448448,0.5423133210798038,63.35538343838464
35,5,1.7939479261546727,0.5680502528522203,67.87151324755614
36,1,1.8347176123134517,0.5533240950591521,64.6599146425724
36,2,1.721952367488162,0.5757917718606941,66.93732700059482
36,3,1.8147075244437325,0.5509281472502046,65.22739359241966
