Node,Graph,Closeness,Clustering,Degree
1,1,1.9711086797060113,0.5618412821749884,68.35672269447909
1,2,2.0894571001951188,0.5397888863649396,64.28925259235207
1,3,1.7723290042777704,0.5659176279624532,66.31503903841929
1,4,2.33933538724696,0.503336484163883,59.48429257800824
1,5,2.154535262053845,0.519016021970251,60.98908291131502
1,6,1.6900796833038212,0.5821892168758832,68.82269768826184
1,7,1.8614730098820507,0.5687442820924842,67.93250701406156
1,8,2.1042013761551037,0.5101444209539344,58.72766835221868
1,9,1.6928984056693788,0.5835959062213478,68.17989600942279
1,10,2.2001618935316594,0.5298898453364957,62.66652947513397
1,11,1.9819727737007922,0.5487196788816722,64.57412509512321
1,12,1.79218049683264,0.5542003652602487,64.75450905631679
1,13,1.8419084890475355,0.5446964995469891,63.4706843942151
1,14,2.043209553884386,0.5357062216945507,63.19519582057616
1,15,1.946404509960683,0.5670803347437148,68.18155955633456
1,16,1.8408586439783372,0.5591918461062895,64.84466720568341
1,17,2.0624641555373886,0.5273182596541264,60.86956190541218
2,1,2.00639479827524,0.5576946430642618,67.70520141430046
2,2,1.8633662668154767,0.5606736430694919,66.87607458621395
2,3,1.8367060828009985,0.5539841131734324,64.21172346439904
2,4,2.264723781291349,0.5080585249903861,59.88027406679485
2,5,2.2218048071196415,0.5056659743613796,58.76247112847947
2,6,1.7280207131582725,0.5719284203856145,66.96503090188021
2,7,1.8793337009417188,0.5672390312308158,67.70054840110575
2,8,2.144472234621722,0.4961873171783871,56.250015169014304
2,9,1.7484434820972943,0.5732569671962292,66.47543413871267
2,10,1.9668801693549522,0.548315937454992,64.3748373914325
2,11,2.069549100357373,0.5364003866877638,62.78573396529695
2,12,1.8537011806546477,0.543975752452405,63.31395323420327
2,13,1.8141070374439847,0.5484875461495845,63.97873679621302
2,14,2.0097710926796752,0.53113824309268,61.74404064979175
2,15,1.8638699286116927,0.5639591222862872,67.29723335474773
2,16,1.9823035017125787,0.570266464656454,67.79155706831975
2,17,2.085864133765445,0.5251329869612587,60.43324000586312
3,1,1.8760411912942903,0.5625114145236324,68.00942693113183
3,2,1.9710738516251294,0.5453238678855528,64.48296778137167
3,3,1.6912461083641033,0.5852294270320578,69.3704977693137
3,4,2.3098199078880977,0.504236373510218,59.79757636923646
3,5,1.985677766707631,0.5372544394878721,63.539007082948146
3,6,1.7611746202058385,0.5729307869416366,67.57177044562005
3,7,1.9231390662304826,0.5589307519881636,66.2118488164616
3,8,2.076582577725949,0.5178409476306797,60.145211984112386
3,9,1.6582251414754603,0.5918648087691298,69.39623180434701
3,10,1.954082543882335,0.5371554435396686,62.15024411723389
3,11,2.012517286104348,0.5451949872401057,63.96664521194417
3,12,2.0240942920438747,0.5245343424939573,60.73182223147492
3,13,1.8494302125434474,0.5439305734789952,63.50647040420866
3,14,2.0623541687601104,0.5397554783999228,64.0538597860622
