Metric,Mean,Median,Standard Deviation
closeness,0.06783343444565682,0.04898019430459999,0.054008250204690994
clustering,0.006399729064550441,0.006973098463981531,0.0005832550863440998
degree,0.46715529904761155,0.5390009430785412,0.049682917167702456
