Node,Metric,Mean,Median,Standard Deviation
1,closeness,0.09717723507046716,0.13744887143865703,0.045642267391828195
1,clustering,0.010307273796614669,0.01721846402018201,0.0054654809751188
1,degree,1.1361095544145883,2.2385745819862777,1.164946845365328
2,closeness,0.04924652854814715,0.05692666194941021,0.06810383515302441
2,clustering,0.006554670625136483,0.006975568447720182,0.008653911890922102
2,degree,0.7061688694566115,0.7094811053273133,1.5113325284648798
3,closeness,0.1436148349826718,0.14133345086729232,0.10022408422107448
3,clustering,0.015496881888309888,0.019956420506116124,0.0045821621653032996
3,degree,1.7646031307916417,3.3122292473608113,0.6608348947088176
4,closeness,0.16244584802303752,0.14299873351473114,0.13269434237750738
4,clustering,0.00936464314670804,0.014576081627763915,0.012712545103368002
4,degree,0.4505471095770659,0.9238830613444691,2.0002558340489696
5,closeness,0.000866100957938265,0.01509287575130469,0.0323363509018221
5,clustering,0.0023130728145850377,0.004314900081177964,0.0034657923783816998
5,degree,0.1396404233663091,0.4394934932551209,0.5103316150784352
6,closeness,0.04917299287937382,0.020147434442879142,0.058066999131669
6,clustering,0.01039745049358154,0.005191286602067358,0.0020227661005026987
6,degree,1.44208564377886,0.8807075705846188,0.38728744839752327
7,closeness,0.1257282546845364,0.11930399425131921,0.0994609556165069
7,clustering,0.011709008532123422,0.014045257944806488,0.0016424926453027025
7,degree,1.143202921332346,1.1971694354593936,0.19370606046780026
8,closeness,0.12122970734579441,0.07849601654347182,0.11590498910098548
8,clustering,0.0026344657719674647,0.005183040779692671,0.006047479648256703
8,degree,0.47163994489464045,0.653378379451091,0.9406045824222731
9,closeness,0.034618347698264884,0.0436920992243679,0.07646289918274382
9,clustering,0.0028228045772301646,0.005864558510590867,0.0012426879527671006
9,degree,0.07965026929602459,0.7379003507799666,0.34093195995316306
10,closeness,0.06772611067813283,0.019262466536474454,0.09703872845494889
10,clustering,0.006837985227700072,0.005160876749419119,0.0009576073166824
10,degree,0.5397688590266512,0.9639306591837311,0.29356911910644334
11,closeness,0.07803040657863769,0.04516776927832722,0.0557188458228583
11,clustering,0.006701283074658337,0.00012573617726630015,0.0015885692214813
11,degree,0.44035724546903054,0.03800048661221922,0.6562112152803841
12,closeness,0.07532321836943368,0.07472495916312583,0.050135269469810104
12,clustering,0.0031751847680580036,0.0014579011909428008,0.0006391568292242016
12,degree,0.16708722549653032,0.6964776559102006,0.281323388579064
13,closeness,0.06375041191122355,0.026365477049357988,0.0513334283326759
13,clustering,0.006091498353083535,0.0030334759047286886,0.0023923051386953997
13,degree,0.36971842549709777,1.1617497462531077,0.58014012069739
14,closeness,0.06690794744184547,0.035817438894408804,0.0812120474533433
14,clustering,0.00032512870882250855,0.005374978141343245,0.0034781140662786016
14,degree,0.8108567306320396,1.8003617077915806,0.9063280473450561
15,closeness,0.062436703345770006,0.06683491557541377,0.046995481350437004
15,clustering,0.006722328022678248,0.008607912865929879,0.00018284745766520075
15,degree,0.5664381946448884,1.1981842358050727,0.08857742309145156
16,closeness,0.08748447628309552,0.02378447171045317,0.0500677206143591
16,clustering,0.009040862757139112,0.0053121853830107035,0.0020508076001851984
16,degree,0.8916254193738098,1.1301102287609268,0.3115074310965915
17,closeness,0.034608631973739534,0.035120513034138545,0.006033382670649193
17,clustering,0.0059249975269822786,0.010338603458379003,0.0011503900994797
17,degree,0.689429276882322,0.8961277260691531,0.1819572502501221
18,closeness,0.009817802320574831,0.014287456540432508,0.04961884441693169
18,clustering,0.0002665487276226619,0.0011620867057586803,0.008227572984018501
18,degree,0.434995109297887,0.825245500501552,1.6134172922074173
19,closeness,0.11902595136217542,0.05672906630931496,0.0986057869594075
19,clustering,0.009114903166363875,0.004118769688582269,0.005634884406626999
19,degree,0.6476385572826757,0.08008677209826942,0.7557956303750775
20,closeness,0.14447859219189496,0.08229611673269588,0.09594725361426071
20,clustering,0.014015949912974723,0.007326476906965973,0.006013079859525998
20,degree,1.5402283420312557,1.0608068718627095,0.8673815472518873
21,closeness,0.038735703143819133,0.06129204621446971,0.032673889438418806
21,clustering,0.006240603918990173,0.009656230102404018,0.0023847661058401005
21,degree,0.611503566866368,0.9528275580800951,0.6710725008107998
22,closeness,0.019979704717523417,0.01996168420013178,0.01997004294887389
22,clustering,0.005086452355633986,0.0022561222306053397,0.0011327085062195
22,degree,0.5916264669529809,0.35960841408672195,0.27104413387732507
23,closeness,0.13626012507762741,0.09720208340043368,0.0866540753983655
23,clustering,0.015879412938018644,0.02355467039187431,0.004723451208793101
23,degree,1.8434768546281006,2.734855251373439,0.5279100954113012
24,closeness,0.12864415422036357,0.09192531938845883,0.07528514333172641
24,clustering,0.014457466601689561,0.012477165134885171,1.1569464412098523e-05
24,degree,1.591535377235573,1.1978441500022683,0.1831395177206181
25,closeness,0.035032222907730004,0.0032716219891799625,0.0472059937831716
25,clustering,0.010704117377569267,0.006701482936538716,0.003687109272388401
25,degree,1.534560315903576,1.7526220523990759,0.5134109378487335
26,closeness,0.04652775090560368,0.031433361758987255,0.0658886475714231
26,clustering,0.011629754476281562,0.005980112085726352,0.005200392170359402
26,degree,1.620689776361857,0.7542414752202546,0.8879421712852686
27,closeness,0.015590563950286462,0.01259875807743227,0.015276254834367203
27,clustering,0.000948740488710409,0.005997728771319877,0.0006576949735134004
27,degree,0.20106218407745047,0.27734897698447014,0.010627634609011283
28,closeness,0.01877946777807149,0.0017463547170220028,0.007380227105397791
28,clustering,0.00016828478301611494,0.0029747930931111055,0.0033587253479217
28,degree,0.18025468716470527,0.13841729048608187,0.5146176665735207
29,closeness,0.07298726504278874,0.040941641950266394,0.0427737020513943
29,clustering,0.005198339694731158,0.002924263344997957,0.008572711735092301
29,degree,0.35059568975290745,0.838831632925249,1.1408176215359573
30,closeness,0.0887215493382365,0.027093845796040794,0.040098456010878095
30,clustering,0.00858927939980203,0.005208703486000665,0.0037667164190433
