Graph,Closeness,Clustering,Degree
1,1.9455235573860326,0.5325794694625495,62.50344922110018
2,2.0284853326404457,0.5335132602859008,63.00782272726931
3,1.9106783259152882,0.5388040225882446,63.04295781655389
4,1.8957571555007289,0.538152107367716,62.94652714629402
5,1.9613316028231467,0.5255236611046188,61.632727059794526
6,1.9474467318017892,0.5353470429009258,62.931520616492115
7,1.9299702292249705,0.53884425632341,63.349498836066935
8,1.9951820760573729,0.5304619090239239,62.48998362377978
9,1.9572026603925492,0.5246568122561852,61.454904201994744
10,1.8101854162474453,0.5555519888653486,64.63752763229047
11,1.7299039108139285,0.5766576490416987,67.00367600249787
12,1.954649032763061,0.5243644438217872,61.49408144935585
13,2.0493375308486104,0.5316214441421593,62.99267116502346
14,1.8706424792345495,0.5456818684748469,63.80014805434354
15,1.9753642919209933,0.5336537099592527,62.87570538798112
16,1.931184994606598,0.5379528936211829,63.19090317051306
17,2.021053784246864,0.526351131037394,62.00673415098084
18,1.8446303074577433,0.5483057602384058,63.97892776223946
19,1.936507034915735,0.5365535475021863,62.95958776895183
20,1.8227537526656974,0.5519323370613651,64.39812623142767
21,2.0307814136579876,0.5221599900160954,61.46374302853032
22,1.9824852434715905,0.5294272990903249,62.247664984442096
23,1.9865674487003988,0.5338497081298091,62.92380822521364
24,2.1094483570339335,0.5307949383946816,62.847345041599766
25,1.9016456328601898,0.5419885681569404,63.55540293985236
26,1.847676613812136,0.5480626530219725,63.88733607203808
27,1.9219433537700836,0.5342993475502816,62.44821468227288
28,1.9790339213092452,0.5297043854332892,62.234767808636356
29,1.7905918199154451,0.5578788685888145,64.88330221010837
30,1.9180250899670137,0.5521864375787102,64.89627477367037
31,1.8550280061678586,0.5496677581967299,64.31979438125103
32,1.9780255748456885,0.5269891143732205,61.85787177747608
33,1.8828437187513514,0.5457029775967922,63.895800629596025
34,1.7917229124944514,0.5575142920710242,64.91257413634538
35,1.8966367484479953,0.5351356132189758,62.5113943133027
36,1.868071412075553,0.5443126193239819,63.688941527687675
37,2.1192130799690903,0.5286526486690772,62.882037451351565
38,1.8457203899800643,0.5542497615162493,64.81536636473395
39,2.220983160945168,0.5122002465525874,61.16064747222618
40,1.9470145202207099,0.53671459678952,63.12138772882524
41,1.8716596045308425,0.5389251931069128,62.9276371817472
42,1.9644748523750732,0.5301435546721235,62.21672627901948
43,1.7937968498049317,0.5648797748609499,65.81890850275308
44,1.7637257573313316,0.5668857125249845,65.92976131999146
45,1.9545337407273464,0.538225396780329,63.21738801631601
